CO(GT);PT08.S1(CO);C6H6(GT);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH
1.5;1079.0;6.8;108.0;925.0;90.0;1463.0;11.6;62.2;0.851
1.1;1047.0;4.9;64.0;1032.0;74.0;1379.0;11.5;61.4;0.8303
0.9;936.0;3.9;73.0;1086.0;73.0;1364.0;10.9;64.6;0.8395
0.7;900.0;2.7;47.0;1207.0;60.0;1307.0;11.1;63.2;0.8331
0.4;839.0;1.9;180.0;1325.0;113.09125081011017;1285.0;10.7;64.4;0.8284
1.8;840.0;1.7;45.0;1349.0;57.0;1275.0;10.7;63.8;0.8174
0.9;905.0;3.3;79.0;1191.0;62.0;1346.0;10.2;65.8;0.8196
1.6;1079.0;7.4;113.0;947.0;71.0;1535.0;10.3;65.6;0.8225
3.9;1417.0;18.2;263.0;669.0;94.0;1921.0;10.8;64.0;0.8307
5.0;1529.0;27.7;275.0;569.0;99.0;2278.0;13.3;55.6;0.8453
4.3;1397.0;18.3;263.0;659.0;119.0;1906.0;15.8;46.8;0.8328
2.7;1214.0;12.3;183.0;780.0;103.0;1662.0;19.5;34.4;0.7738
2.1;1109.0;8.9;147.0;882.0;95.0;1518.0;21.1;30.2;0.745
2.1;1122.0;10.4;132.0;859.0;95.0;1571.0;18.4;34.2;0.7185
1.8;1094.0;9.7;180.0;877.0;113.09125081011017;1519.0;21.0;30.6;0.7538
1.8;1164.0;12.8;180.0;788.0;113.09125081011017;1653.0;21.4;28.7;0.7231
1.8;1188.0;12.9;180.0;790.0;113.09125081011017;1653.0;21.3;27.3;0.6856
1.8;1098.0;8.9;180.0;895.0;113.09125081011017;1497.0;20.4;30.4;0.7193
1.8;1180.0;11.0;180.0;826.0;113.09125081011017;1595.0;18.7;34.8;0.7436
1.8;1195.0;12.6;180.0;799.0;113.09125081011017;1609.0;18.6;34.7;0.7369
1.8;1234.0;13.3;180.0;789.0;113.09125081011017;1638.0;17.9;35.8;0.7276
1.8;1425.0;18.1;180.0;675.0;113.09125081011017;1858.0;16.5;42.1;0.7856
1.8;1320.0;13.0;180.0;730.0;113.09125081011017;1689.0;14.8;49.7;0.8321
1.8;1158.0;7.8;180.0;870.0;113.09125081011017;1494.0;13.4;54.3;0.8291
1.8;1060.0;5.8;180.0;964.0;113.09125081011017;1418.0;13.4;54.2;0.8319
1.8;1036.0;4.7;180.0;1034.0;113.09125081011017;1364.0;12.3;57.6;0.8223
1.8;943.0;3.1;180.0;1163.0;113.09125081011017;1297.0;11.6;58.8;0.7996
1.8;899.0;2.1;180.0;1243.0;113.09125081011017;1259.0;10.7;62.3;0.7988
1.8;889.0;1.7;180.0;1331.0;113.09125081011017;1241.0;10.2;63.2;0.7865
1.8;847.0;1.3;180.0;1416.0;113.09125081011017;1216.0;10.5;61.3;0.7761
1.8;918.0;2.6;180.0;1255.0;113.09125081011017;1298.0;9.3;65.8;0.7722
1.8;1105.0;7.9;180.0;906.0;113.09125081011017;1510.0;9.1;67.4;0.7814
1.8;1491.0;21.4;180.0;625.0;113.09125081011017;2001.0;10.2;62.9;0.7831
1.8;1508.0;22.1;180.0;609.0;113.09125081011017;2034.0;11.6;58.7;0.7999
3.9;1489.0;19.1;309.0;633.0;114.0;1889.0;13.5;53.4;0.8196
3.8;1451.0;17.3;327.0;661.0;127.0;1804.0;15.0;49.3;0.8364
3.8;1454.0;17.5;299.0;661.0;135.0;1809.0;17.1;42.1;0.812
3.9;1392.0;17.0;257.0;689.0;135.0;1792.0;18.4;36.9;0.7758
3.5;1351.0;17.0;195.0;709.0;120.0;1783.0;19.3;35.4;0.7824
4.0;1418.0;19.5;231.0;681.0;129.0;1890.0;19.2;35.7;0.7826
3.0;1303.0;14.8;170.0;748.0;114.0;1734.0;21.5;30.4;0.7677
3.1;1292.0;14.0;192.0;746.0;129.0;1676.0;19.6;34.6;0.7807
5.2;1560.0;24.4;251.0;594.0;149.0;2046.0;19.6;35.5;0.8017
5.9;1765.0;28.1;289.0;533.0;149.0;2271.0;18.3;44.1;0.9183
7.3;1875.0;33.7;351.0;482.0;158.0;2446.0;17.4;47.8;0.9392
6.1;1746.0;24.2;319.0;553.0;148.0;2119.0;16.8;49.8;0.9446
4.6;1607.0;19.8;264.0;587.0;134.0;1960.0;16.2;53.2;0.9723
2.5;1277.0;9.3;144.0;802.0;111.0;1607.0;14.9;59.1;0.9928
2.2;1207.0;7.3;119.0;877.0;106.0;1532.0;13.9;64.0;1.013
2.0;1209.0;7.1;120.0;882.0;108.0;1547.0;13.7;66.8;1.041
1.9;1189.0;6.7;96.0;887.0;93.0;1566.0;13.4;69.6;1.0688
1.6;1132.0;6.0;77.0;899.0;83.0;1532.0;12.8;71.9;1.0632
1.0;974.0;2.7;180.0;1159.0;113.09125081011017;1387.0;12.9;68.5;1.0155
1.0;1033.0;3.6;63.0;1030.0;69.0;1420.0;11.9;74.8;1.038
1.2;1075.0;5.4;97.0;941.0;77.0;1505.0;11.6;76.4;1.0415
2.0;1242.0;10.0;180.0;778.0;87.0;1686.0;11.7;75.3;1.0325
4.5;1657.0;23.2;352.0;579.0;109.0;2176.0;12.8;71.0;1.0428
4.1;1406.0;18.7;279.0;636.0;116.0;1890.0;13.8;61.1;0.9595
2.6;1150.0;9.9;186.0;827.0;105.0;1590.0;15.3;51.4;0.8886
2.3;1184.0;10.2;169.0;823.0;106.0;1604.0;16.6;48.7;0.9146
2.6;1223.0;11.0;172.0;781.0;108.0;1666.0;17.6;46.7;0.9324
2.4;1196.0;10.5;127.0;802.0;100.0;1644.0;19.2;42.7;0.9425
4.3;1559.0;18.9;230.0;653.0;149.0;2047.0;15.7;62.5;1.1092
4.6;1544.0;18.9;280.0;613.0;148.0;2066.0;14.5;75.7;1.2425
4.0;1485.0;17.5;242.0;650.0;126.0;1980.0;14.4;77.4;1.2654
4.7;1498.0;17.7;250.0;649.0;140.0;1963.0;14.6;74.9;1.2391
5.7;1593.0;23.0;309.0;582.0;142.0;2159.0;14.6;76.0;1.2573
5.2;1529.0;20.4;270.0;627.0;141.0;2083.0;14.0;76.3;1.2166
6.4;1689.0;26.8;323.0;560.0;149.0;2298.0;13.9;78.0;1.2303
6.0;1535.0;19.9;307.0;627.0;140.0;2039.0;13.8;78.0;1.2229
3.4;1304.0;12.5;224.0;737.0;117.0;1811.0;13.5;79.4;1.2224
2.7;1235.0;9.6;166.0;803.0;103.0;1680.0;13.1;80.1;1.2016
3.1;1281.0;10.0;171.0;794.0;99.0;1695.0;12.8;81.0;1.1915
2.6;1167.0;8.1;169.0;846.0;100.0;1627.0;12.7;80.6;1.1819
2.2;1134.0;7.1;120.0;869.0;88.0;1599.0;12.5;81.8;1.1838
1.9;1100.0;6.4;103.0;887.0;83.0;1565.0;12.7;81.2;1.1849
1.8;1057.0;5.1;180.0;958.0;113.09125081011017;1527.0;12.4;82.4;1.1848
1.8;902.0;3.0;180.0;1158.0;113.09125081011017;1437.0;12.6;79.9;1.1619
1.8;982.0;4.2;180.0;1055.0;113.09125081011017;1508.0;12.8;80.0;1.1761
1.8;997.0;5.1;180.0;1002.0;113.09125081011017;1524.0;12.6;79.9;1.1596
1.8;1141.0;8.1;180.0;905.0;113.09125081011017;1672.0;12.5;79.6;1.1538
1.8;1163.0;8.8;180.0;849.0;113.09125081011017;1691.0;12.8;80.8;1.1863
1.8;1107.0;7.2;180.0;911.0;113.09125081011017;1604.0;13.5;78.1;1.1997
1.8;1228.0;9.2;180.0;838.0;113.09125081011017;1706.0;14.6;74.9;1.2348
1.8;1033.0;6.0;180.0;969.0;113.09125081011017;1526.0;16.8;61.0;1.1599
1.8;984.0;5.0;180.0;1054.0;113.09125081011017;1472.0;18.8;50.1;1.0769
1.8;1066.0;7.5;180.0;939.0;113.09125081011017;1536.0;19.3;47.1;1.0445
1.8;926.0;3.9;180.0;1130.0;113.09125081011017;1429.0;19.3;46.6;1.0298
1.8;979.0;5.0;180.0;1054.0;113.09125081011017;1462.0;19.7;44.4;1.0081
1.8;993.0;5.4;180.0;1033.0;113.09125081011017;1482.0;19.3;45.7;1.0161
1.8;970.0;5.0;180.0;1043.0;113.09125081011017;1462.0;17.9;49.9;1.0135
1.8;997.0;5.5;180.0;1014.0;113.09125081011017;1482.0;16.9;53.2;1.0179
1.8;1097.0;7.8;180.0;909.0;113.09125081011017;1594.0;16.1;56.0;1.0151
1.8;1105.0;8.2;180.0;900.0;113.09125081011017;1566.0;16.5;52.8;0.986
1.8;993.0;5.3;180.0;1022.0;113.09125081011017;1482.0;16.9;51.1;0.9743
1.8;1136.0;7.9;180.0;919.0;113.09125081011017;1623.0;17.0;50.8;0.9751
1.8;1297.0;10.7;180.0;798.0;113.09125081011017;1700.0;16.9;54.8;1.0455
1.8;1110.0;6.9;180.0;897.0;113.09125081011017;1568.0;16.3;57.2;1.0492
1.8;1027.0;6.3;180.0;942.0;113.09125081011017;1529.0;16.0;56.2;1.0164
1.8;1024.0;5.6;180.0;982.0;113.09125081011017;1501.0;15.6;60.2;1.0617
1.8;992.0;5.4;180.0;988.0;113.09125081011017;1527.0;14.6;68.2;1.1282
1.8;929.0;3.2;180.0;1144.0;113.09125081011017;1449.0;14.3;69.6;1.1257
1.8;892.0;1.9;180.0;1309.0;113.09125081011017;1396.0;13.8;71.9;1.1312
1.8;895.0;2.3;180.0;1268.0;113.09125081011017;1410.0;13.8;72.7;1.1402
1.8;915.0;2.4;180.0;1266.0;113.09125081011017;1411.0;14.2;72.3;1.1632
1.8;947.0;2.9;180.0;1154.0;113.09125081011017;1459.0;14.5;72.9;1.195
1.8;1032.0;4.2;180.0;1052.0;113.09125081011017;1546.0;14.2;75.6;1.2201
1.8;1219.0;6.8;180.0;901.0;113.09125081011017;1664.0;14.5;77.2;1.2695
1.8;1217.0;7.3;180.0;873.0;113.09125081011017;1660.0;14.9;74.5;1.253
1.8;1097.0;5.3;180.0;980.0;113.09125081011017;1565.0;15.5;67.4;1.178
1.8;938.0;3.4;180.0;1136.0;113.09125081011017;1433.0;16.7;56.0;1.0544
1.8;944.0;3.4;180.0;1140.0;113.09125081011017;1436.0;17.1;55.5;1.0724
1.8;1139.0;6.8;180.0;929.0;113.09125081011017;1604.0;16.2;62.4;1.1423
1.8;1163.0;7.0;180.0;921.0;113.09125081011017;1603.0;17.4;58.9;1.1567
1.8;1157.0;7.7;180.0;916.0;113.09125081011017;1590.0;17.5;54.6;1.08
1.8;1154.0;8.5;180.0;876.0;113.09125081011017;1623.0;17.5;54.2;1.0722
1.8;1342.0;13.5;180.0;744.0;113.09125081011017;1824.0;17.0;55.1;1.0621
1.8;1178.0;9.2;180.0;847.0;113.09125081011017;1653.0;16.4;57.8;1.0669
1.8;1152.0;8.7;180.0;854.0;113.09125081011017;1669.0;15.8;60.4;1.0744
1.8;1078.0;6.6;180.0;920.0;113.09125081011017;1595.0;15.5;63.3;1.1071
1.8;1167.0;9.1;180.0;826.0;113.09125081011017;1702.0;15.0;65.2;1.1045
1.8;1111.0;7.8;180.0;871.0;113.09125081011017;1658.0;14.5;67.3;1.1054
1.8;988.0;4.2;180.0;1029.0;113.09125081011017;1500.0;14.1;70.1;1.1224
1.8;917.0;3.4;180.0;1103.0;113.09125081011017;1494.0;13.8;73.3;1.1518
1.8;850.0;1.7;180.0;1275.0;113.09125081011017;1407.0;13.1;78.3;1.1716
1.8;885.0;2.1;180.0;1238.0;113.09125081011017;1443.0;13.0;78.2;1.1664
1.8;888.0;2.2;180.0;1242.0;113.09125081011017;1428.0;14.3;70.1;1.1328
1.8;1101.0;6.9;180.0;913.0;113.09125081011017;1655.0;14.0;70.9;1.1306
1.8;1399.0;16.5;180.0;680.0;113.09125081011017;1976.0;15.4;64.2;1.1123
1.8;1325.0;18.7;180.0;652.0;113.09125081011017;1969.0;16.5;57.9;1.0826
1.8;1058.0;8.5;180.0;876.0;113.09125081011017;1594.0;18.8;48.0;1.0323
1.8;990.0;6.8;180.0;947.0;113.09125081011017;1503.0;19.5;43.3;0.9706
1.8;1018.0;7.5;180.0;950.0;113.09125081011017;1574.0;18.5;45.5;0.9606
1.8;1105.0;10.9;180.0;811.0;113.09125081011017;1709.0;18.0;46.7;0.9569
1.8;1194.0;13.4;180.0;743.0;113.09125081011017;1847.0;16.5;58.2;1.0813
1.8;1088.0;7.9;180.0;892.0;113.09125081011017;1565.0;12.1;75.6;1.0662
1.8;1084.0;8.8;180.0;872.0;113.09125081011017;1602.0;11.1;75.6;0.9974
1.8;1207.0;11.5;180.0;797.0;113.09125081011017;1701.0;10.5;79.0;1.0016
1.8;1186.0;11.8;180.0;808.0;113.09125081011017;1684.0;10.0;80.5;0.9853
1.8;1053.0;8.3;180.0;916.0;113.09125081011017;1528.0;11.3;70.5;0.9389
1.8;1032.0;7.9;180.0;921.0;113.09125081011017;1508.0;10.7;71.5;0.9197
1.8;989.0;6.7;180.0;960.0;113.09125081011017;1476.0;9.9;74.0;0.9009
1.8;930.0;4.6;180.0;1085.0;113.09125081011017;1391.0;10.8;68.2;0.8806
1.8;951.0;5.0;180.0;1056.0;113.09125081011017;1431.0;10.2;74.0;0.9176
1.8;985.0;5.3;180.0;1017.0;113.09125081011017;1444.0;10.1;77.5;0.9579
1.8;937.0;3.9;180.0;1136.0;113.09125081011017;1377.0;9.9;77.7;0.9497
1.8;887.0;2.9;180.0;1222.0;113.09125081011017;1357.0;9.5;80.2;0.9533
1.8;806.0;1.5;180.0;1429.0;113.09125081011017;1290.0;9.5;79.7;0.9489
1.8;771.0;0.8;180.0;1587.0;113.09125081011017;1277.0;9.7;78.9;0.9487
1.8;802.0;1.2;180.0;1523.0;113.09125081011017;1315.0;9.8;80.0;0.967
1.8;878.0;2.9;180.0;1260.0;113.09125081011017;1410.0;10.0;79.6;0.98
1.8;1070.0;7.6;180.0;942.0;113.09125081011017;1625.0;10.3;79.4;0.9927
1.8;1430.0;20.7;180.0;638.0;113.09125081011017;2069.0;11.0;77.4;1.0135
1.8;1565.0;29.9;180.0;540.0;113.09125081011017;2396.0;12.3;69.2;0.9906
1.8;1365.0;20.1;180.0;637.0;113.09125081011017;1999.0;14.5;60.4;0.9936
1.8;1348.0;17.1;180.0;678.0;113.09125081011017;1874.0;16.0;56.3;1.0185
1.8;1311.0;19.4;180.0;648.0;113.09125081011017;1991.0;18.1;51.1;1.0551
1.8;1302.0;18.7;180.0;658.0;113.09125081011017;1970.0;23.0;37.5;1.0389
1.8;1250.0;15.8;180.0;720.0;113.09125081011017;1870.0;21.8;39.6;1.0209
1.8;1083.0;10.3;180.0;859.0;113.09125081011017;1643.0;21.9;37.2;0.9683
1.8;1005.0;7.9;180.0;956.0;113.09125081011017;1530.0;23.8;31.4;0.9132
1.8;1129.0;13.7;180.0;844.0;113.09125081011017;1742.0;25.9;26.9;0.8845
1.8;1327.0;19.7;180.0;712.0;113.09125081011017;1938.0;25.8;29.9;0.9808
1.8;1428.0;25.3;180.0;599.0;113.09125081011017;2156.0;22.6;39.5;1.0679
1.8;1426.0;23.9;180.0;612.0;113.09125081011017;2102.0;19.9;45.0;1.0364
1.8;1310.0;20.6;180.0;663.0;113.09125081011017;1958.0;17.9;47.4;0.9657
1.8;1114.0;12.3;180.0;792.0;113.09125081011017;1704.0;16.8;50.4;0.9545
1.8;991.0;7.7;180.0;932.0;113.09125081011017;1550.0;16.0;52.0;0.9375
1.8;1089.0;9.0;180.0;866.0;113.09125081011017;1589.0;14.2;59.1;0.952
1.8;911.0;4.5;180.0;1071.0;113.09125081011017;1412.0;14.2;56.7;0.9111
1.8;1005.0;5.8;180.0;976.0;113.09125081011017;1474.0;12.2;67.7;0.9625
1.8;863.0;3.2;180.0;1172.0;113.09125081011017;1381.0;13.2;61.7;0.9328
1.8;857.0;3.0;180.0;1197.0;113.09125081011017;1375.0;10.9;71.0;0.9249
1.8;804.0;2.0;180.0;1301.0;113.09125081011017;1319.0;11.3;67.6;0.9038
1.8;871.0;3.7;180.0;1160.0;113.09125081011017;1421.0;10.1;71.8;0.888
1.8;1035.0;8.7;180.0;887.0;113.09125081011017;1599.0;10.2;70.9;0.8841
1.8;1513.0;27.0;180.0;572.0;113.09125081011017;2249.0;11.8;66.0;0.9085
1.8;1726.0;40.3;180.0;478.0;113.09125081011017;2684.0;14.0;58.2;0.9271
1.8;1396.0;20.0;180.0;619.0;113.09125081011017;1991.0;17.0;50.2;0.9646
1.8;1333.0;17.1;180.0;668.0;113.09125081011017;1854.0;22.3;36.9;0.9838
1.8;1161.0;11.0;180.0;849.0;113.09125081011017;1642.0;24.4;30.9;0.934
1.8;1081.0;10.6;180.0;900.0;113.09125081011017;1561.0;25.9;26.7;0.8771
1.8;1075.0;10.5;180.0;914.0;113.09125081011017;1574.0;25.8;26.1;0.854
1.8;1055.0;9.6;180.0;953.0;113.09125081011017;1513.0;26.3;24.8;0.8393
1.8;1053.0;9.3;180.0;988.0;113.09125081011017;1483.0;27.0;22.2;0.7805
1.8;1087.0;12.7;180.0;944.0;113.09125081011017;1558.0;27.3;20.5;0.7308
1.8;1304.0;19.8;180.0;765.0;113.09125081011017;1838.0;25.8;24.1;0.7912
1.8;1625.0;32.5;180.0;601.0;113.09125081011017;2271.0;25.3;28.9;0.9151
1.8;1649.0;33.6;180.0;584.0;113.09125081011017;2328.0;23.8;33.7;0.9786
1.8;1443.0;26.0;180.0;635.0;113.09125081011017;2073.0;21.4;36.0;0.9059
1.8;1209.0;16.4;180.0;753.0;113.09125081011017;1737.0;19.8;39.5;0.9016
1.8;1105.0;10.6;180.0;847.0;113.09125081011017;1573.0;19.2;42.1;0.9273
1.8;1020.0;7.1;180.0;933.0;113.09125081011017;1492.0;18.8;45.8;0.9855
1.8;991.0;6.4;180.0;973.0;113.09125081011017;1469.0;17.1;50.8;0.9828
1.8;937.0;4.6;180.0;1058.0;113.09125081011017;1420.0;16.2;53.4;0.9775
1.8;882.0;3.0;180.0;1141.0;113.09125081011017;1377.0;16.0;53.5;0.9691
1.8;843.0;2.2;180.0;1242.0;113.09125081011017;1341.0;14.3;59.2;0.9601
1.8;819.0;1.7;180.0;1295.0;113.09125081011017;1316.0;13.3;62.6;0.9498
1.8;834.0;2.2;180.0;1276.0;113.09125081011017;1335.0;13.4;59.5;0.9097
1.8;977.0;5.7;180.0;990.0;113.09125081011017;1474.0;12.2;64.1;0.9062
1.8;1234.0;13.8;180.0;767.0;113.09125081011017;1729.0;13.9;57.2;0.9029
1.8;1403.0;21.6;180.0;623.0;113.09125081011017;2003.0;15.2;53.2;0.9107
1.8;1538.0;26.1;180.0;593.0;113.09125081011017;2186.0;19.2;41.6;0.9154
1.8;1343.0;20.1;180.0;694.0;113.09125081011017;1945.0;23.7;30.6;0.8854
1.8;1243.0;15.4;180.0;766.0;113.09125081011017;1731.0;26.1;26.8;0.8921
1.8;1201.0;13.6;180.0;814.0;113.09125081011017;1682.0;28.1;24.4;0.9138
1.8;1121.0;11.1;180.0;893.0;113.09125081011017;1585.0;28.3;23.9;0.906
1.8;1087.0;12.2;180.0;908.0;113.09125081011017;1562.0;28.0;21.0;0.7814
1.8;1165.0;17.5;180.0;824.0;113.09125081011017;1676.0;30.8;16.4;0.7167
1.8;1224.0;19.1;180.0;806.0;113.09125081011017;1739.0;31.3;16.2;0.7262
1.8;1431.0;27.1;180.0;679.0;113.09125081011017;2025.0;29.4;20.5;0.8262
1.8;1433.0;28.3;180.0;661.0;113.09125081011017;2038.0;25.8;24.3;0.794
1.8;1527.0;35.0;180.0;587.0;113.09125081011017;2238.0;23.8;29.5;0.8559
1.8;1387.0;22.4;180.0;701.0;113.09125081011017;1932.0;22.0;34.8;0.908
1.8;1158.0;13.5;180.0;835.0;113.09125081011017;1659.0;20.2;37.4;0.8748
1.8;1009.0;8.2;180.0;982.0;113.09125081011017;1466.0;19.3;38.8;0.8559
1.8;1026.0;7.8;180.0;976.0;113.09125081011017;1467.0;17.9;43.7;0.8856
1.8;1119.0;10.0;180.0;873.0;113.09125081011017;1593.0;17.2;47.9;0.9334
1.8;1000.0;6.6;180.0;958.0;113.09125081011017;1467.0;16.3;49.7;0.916
1.8;866.0;3.4;180.0;1155.0;113.09125081011017;1337.0;16.7;46.5;0.8755
1.8;848.0;2.8;180.0;1202.0;113.09125081011017;1325.0;14.6;53.0;0.8775
1.8;844.0;2.3;180.0;1213.0;113.09125081011017;1314.0;14.1;53.9;0.8633
0.6;852.0;2.9;59.0;1186.0;59.0;1321.0;14.2;52.2;0.8413
0.8;923.0;4.9;72.0;1041.0;67.0;1418.0;14.3;55.4;0.9003
4.0;1490.0;22.6;244.0;627.0;95.0;2119.0;14.0;58.0;0.9202
5.6;1662.0;31.1;351.0;523.0;123.0;2417.0;15.4;53.3;0.9289
5.0;1553.0;22.1;358.0;621.0;142.0;2030.0;19.1;42.1;0.9233
3.2;1423.0;18.3;245.0;706.0;142.0;1887.0;23.7;31.0;0.8968
3.8;1458.0;22.0;240.0;677.0;169.0;1947.0;26.9;25.7;0.8942
3.3;1349.0;20.1;179.0;728.0;142.0;1838.0;29.7;20.6;0.8478
3.0;1326.0;18.9;160.0;757.0;136.0;1835.0;29.2;21.5;0.8573
3.2;1356.0;20.6;174.0;729.0;147.0;1865.0;29.6;20.1;0.8181
4.4;1460.0;25.3;260.0;680.0;196.0;1953.0;30.0;19.4;0.81
4.6;1497.0;25.8;281.0;679.0;186.0;1985.0;29.5;20.1;0.8136
5.2;1645.0;30.6;284.0;599.0;177.0;2228.0;27.0;26.8;0.9403
4.8;1557.0;27.1;250.0;615.0;164.0;2087.0;24.9;30.8;0.954
5.6;1747.0;32.5;281.0;557.0;161.0;2335.0;23.1;36.7;1.0244
4.6;1482.0;20.8;230.0;660.0;146.0;1975.0;21.5;40.8;1.0333
1.8;1211.0;10.9;98.0;816.0;98.0;1619.0;20.5;41.5;0.9864
2.2;1294.0;13.0;121.0;770.0;108.0;1687.0;19.2;44.9;0.9875
2.0;1300.0;11.8;110.0;777.0;107.0;1659.0;18.8;47.7;1.0221
2.8;1402.0;13.4;161.0;736.0;113.0;1729.0;18.2;49.7;1.0284
2.6;1349.0;13.4;148.0;707.0;100.0;1763.0;16.1;57.4;1.0451
1.8;1161.0;9.0;109.0;827.0;87.0;1597.0;16.3;55.3;1.0178
1.1;1022.0;5.8;180.0;916.0;113.09125081011017;1481.0;15.7;53.6;0.9483
1.8;948.0;3.8;45.0;1045.0;60.0;1430.0;16.9;49.8;0.9514
0.7;933.0;3.7;71.0;1045.0;65.0;1403.0;14.8;57.7;0.9644
0.9;1021.0;5.7;75.0;931.0;64.0;1483.0;14.0;59.7;0.9499
1.5;1134.0;10.0;106.0;794.0;73.0;1639.0;14.6;56.8;0.9385
2.5;1311.0;15.0;166.0;681.0;86.0;1838.0;16.7;51.9;0.9788
3.0;1409.0;15.6;188.0;685.0;105.0;1874.0;20.0;45.0;1.039
2.6;1301.0;12.3;161.0;787.0;107.0;1727.0;23.9;33.7;0.9837
2.6;1354.0;14.4;139.0;765.0;114.0;1808.0;26.8;29.5;1.0209
2.6;1391.0;14.6;134.0;738.0;105.0;1840.0;27.2;32.4;1.1493
1.9;1200.0;8.7;84.0;879.0;74.0;1623.0;26.9;32.1;1.1217
2.0;1338.0;11.0;98.0;798.0;95.0;1766.0;24.3;41.8;1.2561
1.7;1223.0;9.0;91.0;884.0;89.0;1610.0;25.6;36.0;1.1629
1.9;1278.0;10.7;99.0;845.0;95.0;1691.0;27.0;31.8;1.1176
1.8;1257.0;9.9;90.0;860.0;93.0;1634.0;27.5;31.6;1.1417
2.8;1497.0;15.7;147.0;725.0;123.0;1899.0;24.9;38.1;1.1838
3.5;1567.0;19.4;177.0;661.0;134.0;1970.0;23.4;39.7;1.1276
3.4;1503.0;16.8;162.0;651.0;126.0;1863.0;21.2;50.8;1.2631
2.0;1169.0;6.8;88.0;906.0;79.0;1584.0;15.6;73.5;1.2953
1.1;1007.0;3.0;53.0;1157.0;54.0;1404.0;12.9;79.7;1.1774
1.3;1004.0;3.2;68.0;1157.0;69.0;1365.0;11.5;76.9;1.0436
1.2;967.0;3.1;61.0;1181.0;67.0;1321.0;12.2;66.8;0.9455
1.3;984.0;3.9;71.0;1131.0;73.0;1359.0;12.4;64.1;0.9209
1.0;931.0;3.6;63.0;1161.0;73.0;1317.0;12.7;58.7;0.8605
1.3;966.0;4.5;180.0;1083.0;113.09125081011017;1363.0;12.6;58.6;0.8529
1.8;777.0;1.2;23.0;1535.0;33.0;1121.0;12.5;51.2;0.7374
0.3;763.0;0.7;14.0;1783.0;20.0;1098.0;12.5;50.9;0.7346
0.5;804.0;1.1;34.0;1718.0;37.0;1148.0;12.8;49.3;0.7285
0.6;830.0;1.4;42.0;1496.0;50.0;1184.0;13.5;48.6;0.7487
0.6;833.0;1.6;40.0;1476.0;45.0;1180.0;14.4;45.9;0.7476
0.8;875.0;2.3;48.0;1370.0;48.0;1206.0;15.1;43.9;0.7487
1.0;882.0;2.5;61.0;1346.0;56.0;1216.0;16.6;38.6;0.7236
0.9;862.0;2.7;58.0;1320.0;58.0;1193.0;17.2;35.0;0.6789
1.0;863.0;2.7;57.0;1290.0;52.0;1185.0;17.4;33.9;0.6683
0.8;830.0;2.2;54.0;1389.0;52.0;1145.0;17.9;30.7;0.6234
0.7;807.0;2.0;41.0;1488.0;44.0;1104.0;18.3;27.2;0.5675
0.9;873.0;3.4;57.0;1343.0;59.0;1181.0;19.4;25.7;0.5738
1.3;931.0;4.5;83.0;1274.0;74.0;1219.0;20.2;24.1;0.563
1.4;918.0;4.7;81.0;1228.0;76.0;1219.0;19.6;24.9;0.5625
1.5;1001.0;6.0;98.0;1122.0;83.0;1344.0;18.5;27.8;0.5843
2.7;1169.0;11.7;124.0;883.0;100.0;1550.0;17.8;30.3;0.6129
2.5;1085.0;8.2;133.0;976.0;101.0;1419.0;16.6;34.0;0.6353
1.4;940.0;5.1;100.0;1103.0;90.0;1310.0;15.5;37.0;0.6447
2.8;1126.0;13.0;116.0;875.0;93.0;1654.0;14.8;39.5;0.6595
2.1;978.0;7.0;102.0;1013.0;79.0;1379.0;14.5;42.0;0.6896
1.1;893.0;3.9;55.0;1192.0;57.0;1283.0;14.1;44.9;0.7206
0.7;838.0;2.2;33.0;1361.0;43.0;1220.0;14.2;45.5;0.7333
0.4;803.0;1.3;17.0;1513.0;25.0;1152.0;14.1;45.3;0.7247
0.3;775.0;0.8;180.0;1722.0;113.09125081011017;1115.0;14.0;44.3;0.7038
1.8;767.0;0.6;10.0;1826.0;17.0;1091.0;14.1;43.0;0.689
0.4;809.0;1.2;35.0;1575.0;44.0;1158.0;13.9;43.9;0.6923
0.8;898.0;3.4;70.0;1271.0;72.0;1307.0;14.0;43.8;0.6959
1.9;1053.0;7.5;116.0;982.0;91.0;1464.0;14.4;43.6;0.7113
2.1;1033.0;8.9;134.0;917.0;89.0;1490.0;15.0;41.7;0.7093
1.4;941.0;5.3;113.0;1080.0;84.0;1343.0;16.3;38.4;0.7052
1.4;941.0;5.4;110.0;1102.0;83.0;1328.0;18.3;32.3;0.676
1.3;917.0;5.2;98.0;1098.0;78.0;1311.0;18.8;31.7;0.6821
1.5;977.0;6.6;96.0;1038.0;80.0;1413.0;19.6;30.9;0.6968
1.6;994.0;6.9;95.0;1018.0;75.0;1436.0;20.2;30.7;0.7176
1.3;942.0;5.4;86.0;1065.0;77.0;1365.0;19.7;32.5;0.7396
1.4;981.0;6.0;86.0;1060.0;77.0;1395.0;20.7;31.6;0.7602
1.5;984.0;6.4;91.0;1034.0;81.0;1410.0;20.0;32.7;0.7545
2.2;1116.0;10.7;119.0;864.0;101.0;1625.0;18.6;35.4;0.7535
3.2;1181.0;13.9;147.0;787.0;119.0;1685.0;18.3;35.9;0.7501
